match_type,pattern,primary_genre,genres,priority,notes,genre_status
artist,Enslaved,black metal,black metal; progressive metal; viking metal,100,2026-09-23 artist-level confirmation: the band's history describes a signature black/progressive sound and early Viking-metal roots; the secondary tags are not verified for every recording and specific exceptions take priority | https://enslaved.no/heritage/,
artist,Darkthrone,black metal,black metal; crust punk,100,2026-09-23 artist-level confirmation: Peaceville describes the band as synonymous with black metal; the crust-punk secondary is a legacy default and is not verified for every release | https://peaceville.com/bands/darkthrone/,
lead_artist_id,0ybFZ2Ab08V8hueghSXm6E,progressive metal,progressive metal; death metal,100,Legacy Opeth default; scoped to lead Spotify ID on 2026-09-22; release exceptions take precedence; not independently verified for every future recording,
lead_artist_id,6bYFkBNvayh3nGqxcPp7Sv,experimental,experimental; black metal; electronic,100,Legacy Ulver default; scoped to lead Spotify ID on 2026-09-22; release exceptions take precedence; not independently verified for every future recording,
artist,Shape Of Despair,funeral doom,funeral doom; doom metal,100,2026-09-23 artist-level confirmation: the label identifies the band as funeral doom; individual songs and the secondary tag were not separately verified | https://www.season-of-mist.com/bands/shape-of-despair/,
artist,Wardruna,nordic folk,nordic folk; dark folk,100,2026-09-23 artist-level confirmation: the band's own catalogue centres Nordic traditions and instruments; dark-folk secondary is a broad descriptor | https://wardruna.bandcamp.com/music,
artist,The Flight of Sleipnir,stoner doom,stoner doom; folk metal,100,2026-09-23 artist-level confirmation: the band's release tags and description combine stoner and doom; folk-metal secondary is not verified for every recording | https://theflightofsleipnir.bandcamp.com/album/natures-cadence,
artist,Clark,electronic,electronic; idm,100,,
artist,Frank Zappa,art rock,art rock; jazz fusion; experimental rock,100,,
artist,The Quakes,psychobilly,psychobilly; rockabilly,100,,
lead_artist_id,72Syhg4FIEracKDa3yumQY,ambient,ambient; downtempo,100,Legacy Lauge default; scoped to lead Spotify ID on 2026-09-22; release exceptions take precedence; not independently verified for every future recording,
artist,My Dying Bride,doom metal,doom metal; gothic metal,100,,
artist,Alcest,blackgaze,blackgaze; shoegaze,100,,
artist,Biohazard,hardcore,hardcore; rap metal,100,,
artist,Carlo Domeniconi,classical,classical; guitar,100,,
