artist_id,artist_name,primary_genre,apply_when,source_url,notes
0N1jE1EIrhZjvQSfuLupUu,Amenra,post-metal,tie,https://www.relapse.com/pages/de-mannen-broeders-sober-maal,The label identifies Amenra as a post-metal collective; one acoustic cover is atypical.
0T3UezATgzQo2sJkjzEsmM,Gealdýr,nordic folk,tie,https://gealdyr.bandcamp.com/album/cyning,The artist release identifies the project as Nordic folk with ambient elements.
0jQmDqHRUYmOudBxUX9R4L,heks,dungeon synth,tie,https://heks1.bandcamp.com/,The artist describes a dungeon-synth and ambient project.
3rLgIB7dHh2MGYpiOMajJI,Hexvessel,psychedelic folk rock,tie,https://svartrecords.com/en/artist/hexvessel/10094,The label describes the group's catalogue as psychedelic forest folk rock; the black-metal release is a stylistic shift.
0ybFZ2Ab08V8hueghSXm6E,Opeth,progressive metal,tie,https://opeth.com/band/biography,The band's biography describes its long progressive-metal history and later rock explorations.
7E3BRXV9ZbCt5lQTCXMTia,Ólafur Arnalds,modern classical,tie,https://olafurarnalds.com/works/,The artist's catalogue combines modern classical composition and electronics.
1DXylZlWbVvlckNqwvjTEt,Ministry,industrial metal,always,https://ministryband.com/bio,The four saved recordings are synth-pop from With Sympathy; the band's career is defined by later industrial metal.
2HmtB6wVRRi3z0JwZHtkiD,Enslaved,progressive black metal,always,https://enslaved.no/heritage/,The band describes its signature sound as black and progressive metal; early and atypical recordings keep their own styles.
4S2qftLTvdEFvIPPTYmeg6,Aura Noir,black thrash metal,always,https://peaceville.com/bands/aura-noir/,The label identifies the group's career-defining style as black and thrash metal; individual recordings retain their source labels.
0vxxsjcDy61x5zvrOqwHIL,Borknagar,progressive black metal,always,https://centurymedia.bandcamp.com/album/fall-24-bit-hd-audio,The label describes the band's recent catalogue as progressive black metal; recordings retain their own labels.
725TVcN9QYnaZiG9VFBT7P,Dark Suns,progressive metal,always,https://dark-suns.bandcamp.com/album/orange-2,The label contrasts the group's earlier progressive metal with its later progressive rock; six saved tracks overrepresent the early doom period.
2Hkut4rAAyrQxRdof7FVJq,Rush,progressive rock,confirm,https://www.rush.com/band/,The band's history describes its defining progressive-rock period; the current seven-track library vote agrees.
38uWD5h115pdz278q4rwZW,Soen,progressive metal,confirm,https://www.soenmusic.com/about,The band's biography identifies its progressive-metal roots; the current seven-track library vote agrees.
6biWAmrHyiMkX49LkycGqQ,Thin Lizzy,hard rock,confirm,https://www.thinlizzyofficial.com/thin-lizzy-a-rocknroll-history/,The band's history describes its signature twin-guitar sound in a hard-rock context; the current seven-track library vote agrees.
6QpbkfyEQJ3JiQw2AbTRUH,Cruachan,folk metal,confirm,https://cruachanband.bandcamp.com/music,The band's own catalogue describes its fusion of Irish folk and metal; the current six-track library vote agrees.
7E7fJJpdVgr1F3pfAfRtHe,Cult Of Luna,post-metal,confirm,https://cultofluna.bandcamp.com/album/the-long-road-north,The official artist release is tagged post-metal; the current six-track library vote agrees.
1IQ2e1buppatiN1bxUVkrk,Slayer,thrash metal,confirm,https://www.nuclearblast.com/pages/slayer,The label biography places the band's members and releases in thrash metal; the current five-track library vote agrees.
34gLicNdz493863yZTanvC,Emma Ruth Rundle,singer-songwriter,always,https://www.emmaruthrundle.com/err-epk,Two of three saved lead recordings are sludge-metal collaborations with Thou; the artist's solo work spans singer-songwriter and atmospheric rock traditions.
2kO6zjt4a1OIqxOERhliEX,The Gathering,atmospheric rock,always,https://thegathering.bandcamp.com/music,Five saved songs represent the earlier gothic-metal years; the band's own catalogue describes its evolution into atmospheric rock.
21vmec89Da5i411YFh0lo8,Carlo Domeniconi,classical guitar,confirm,https://productionsdoz.com/en/about-us/artists/domeniconi-carlo,The publisher describes the composer's classical-guitar repertoire; four of seven saved performances already use classical guitar as primary genre.
0DiH2yz49jh3H1jYqXNs9Z,Century,heavy metal,confirm,https://centuryswe.bandcamp.com/album/the-conquest-of-time,This Swedish band's catalogue identifies it as heavy metal; the same-name French pop-rock cache match is unrelated.
2jkl2xJVm71azWAgZKyf42,Kino,post-punk,confirm,https://music.apple.com/us/playlist/%D0%BA%D0%B8%D0%BD%D0%BE-%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%BE%D0%B5/pl.978b9e3b4d6d4df58d00f3807cde1048?l=ru,The Soviet group led by Viktor Tsoi is described as post-punk; the same-name British prog cache match is unrelated.
6UCGlnMvvNd2v8M7QLoi3L,Obscure,heavy doom metal,confirm,https://metal-temple.com/review/obscure-on-formaldehyde/,The Norwegian band's On Formaldehyde is reviewed as heavy and doom metal; the same-name Spanish death-metal cache match is unrelated.
